Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Carbon Emissions (Million Tons)
Canada,2018,9525.38,42301.43,13.7,70.47,3766.11
Germany,2020,7922.08,36601.38,33.63,41.95,2713.12
Russia,2002,6630.01,41670.2,10.82,39.32,885.98
Brazil,2010,8580.19,10969.58,73.24,16.71,1144.11
Canada,2006,848.88,32190.85,49.575643270914725,50.42435672908528,842.39
UK,2016,4682.02,2491.92,36.94878115584771,63.05121884415229,2242.11
India,2024,9893.64,3912.56,27.07,31.7,3626.5
Canada,2008,7719.04,35819.59,15.03,62.73,3808.66
Russia,2020,9624.55,1708.8,54.9626998223801,45.03730017761989,525.95
Brazil,2008,7818.38,29198.37,75.41216600341103,24.58783399658897,2504.76
Germany,2009,8761.33,42100.05,27.63,52.96,2433.13
Russia,2012,7094.64,19307.12,57.85,27.85,2222.49
Russia,2014,7628.97,2719.6,26.99,65.29,1541.02
India,2021,5279.46,35835.45,24.14,20.77,2405.25
Australia,2004,9249.95,46519.48,6.8,56.82,2607.2
Brazil,2002,8267.89,35999.98,54.06,32.82,3018.5
China,2007,8454.46,29133.14,17.75,12.53,1917.96
Russia,2019,6762.79,11886.43,6.05,18.66,4728.25
Australia,2009,3115.34,1261.09,13.91,55.84,1727.25
China,2012,452.73,34886.27,31.67,26.79,4480.5
Brazil,2002,9362.99,11935.8,53.3218440327445,46.67815596725549,4016.2
USA,2021,5902.59,42979.05,22.22,39.04,2353.09
UK,2007,3051.62,23585.02,57.90269180941413,42.09730819058586,2506.75
Australia,2008,1576.44,26766.46,29.52,44.51,4355.81
Japan,2021,8312.28,37819.86,33.15,31.6,2488.99
USA,2020,8381.55,39081.82,23.53,20.21,3412.93
UK,2011,8163.63,32311.22,26.57,33.88,4056.05
India,2010,6486.32,46952.37,11.3,54.44,4544.01
Canada,2001,3723.55,49123.77,30.06,61.83,1129.91
Germany,2017,3110.3,47370.83,78.07,21.22,4878.06
Japan,2008,184.69,41296.87,52.92451258123646,47.07548741876354,4828.4
India,2001,8352.71,35428.45,77.88131436978911,22.118685630210887,1521.91
Brazil,2001,965.58,33334.63,13.91,25.53,3087.95
India,2002,6344.47,5635.63,43.73,47.19,282.24
Canada,2015,5090.34,13938.48,24.49,30.24,880.75
Brazil,2018,5314.22,781.57,54.07389283092733,45.92610716907267,2939.9
Japan,2003,9274.46,7301.79,53.21530692948835,46.78469307051165,3268.03
Canada,2022,412.99,22241.86,74.31,20.42,2696.28
China,2024,7756.58,7753.56,8.0,49.94,3538.37
Germany,2017,615.32,45132.34,29.95776630689817,70.04223369310184,3974.81
Japan,2019,477.72,40382.11,7.43,22.36,883.87
China,2024,4355.2,4044.79,8.41,35.68,3315.11
UK,2017,724.44,12821.23,11.76,18.65,2834.86
Japan,2009,7912.53,41044.06,28.49,54.94,632.05
UK,2010,5342.67,40250.78,30.86,56.84,1181.59
Brazil,2016,387.48,47299.8,39.04,56.49,2127.36
China,2023,500.96,49878.61,39.42,47.95,4325.6
Germany,2024,6165.42,48825.37,53.13605903169941,46.86394096830058,1124.28
Canada,2022,8080.51,20801.83,17.02,12.51,955.47
Russia,2023,4434.22,12891.26,18.41,77.03,3618.71
India,2019,5590.35,38041.3,58.26,25.55,4880.18
USA,2015,8018.31,15314.01,53.6,18.51,2264.28
Germany,2019,6144.01,40416.82,18.09,75.88,1783.18
China,2012,2325.13,26930.76,53.19777426667582,46.80222573332417,1307.01
Russia,2001,6169.22,39799.4,32.97,63.54,296.22
Germany,2023,6319.97,14156.05,36.19,17.33,933.15
China,2001,7367.66,25647.35,37.97893166775426,62.02106833224573,512.4
Australia,2024,6246.65,28419.18,32.43,52.63,2495.8
Australia,2013,9695.5,47183.85,46.10509638236071,53.89490361763929,4892.08
UK,2003,2053.15,13696.58,32.652360515021456,67.34763948497854,3947.64
Germany,2016,9515.8,46866.07,27.05,23.61,3028.37
Australia,2012,5429.56,40340.52,64.376130198915,35.62386980108499,2458.86
China,2003,6752.37,36679.26,31.21,62.73,3105.05
UK,2002,1084.67,39450.08,61.46280912823451,38.53719087176549,1911.33
China,2011,3867.7,30468.54,34.51,13.83,933.01
UK,2021,7716.85,12581.96,41.99,17.8,2969.38
Germany,2022,7098.42,9880.0,25.06,52.15,2664.11
Russia,2007,497.38,43383.9,68.95,29.95,4725.46
Canada,2001,5511.28,36394.4,67.66,19.65,3266.67
Japan,2005,973.95,11053.61,6.89,33.79,3878.48
Russia,2021,9958.98,30947.12,10.12,24.07,508.87
Brazil,2009,8983.24,22653.55,83.4,11.68,3816.64
China,2011,308.7,8353.43,79.61059497924491,20.38940502075509,4915.1
Brazil,2020,8600.63,26826.93,40.070093457943926,59.92990654205607,3304.6
Russia,2009,9202.35,14435.2,46.94,10.84,3723.31
UK,2009,3600.13,5264.08,53.57737104825291,46.422628951747086,4898.63
Japan,2022,7223.07,23614.44,16.77,62.74,1986.81
Japan,2002,4476.83,29710.37,55.0245320734145,44.9754679265855,4129.68
USA,2019,6586.8,2821.87,45.46,24.59,2028.48
Japan,2009,3469.14,20403.59,48.82555141793183,51.174448582068166,2158.3
Canada,2008,3293.34,13254.27,7.56,43.26,3308.3
Japan,2019,4301.9,2017.2,55.38,22.12,1319.27
Russia,2018,1541.12,6720.3,52.32,40.03,4964.27
USA,2013,8328.28,7382.19,76.38597542703026,23.614024572969733,1679.7
Russia,2001,3552.11,9552.28,62.53,36.32,658.11
Russia,2004,4061.48,40267.19,64.06325252849574,35.936747471504255,1646.64
India,2019,8951.14,22254.85,69.56145662139953,30.438543378600464,4287.03
USA,2007,5016.58,7780.76,39.69,55.99,1603.94
Russia,2006,5488.11,5464.7,16.68,75.51,3076.21
India,2005,9569.33,15248.05,58.57,34.37,4679.84
India,2010,8878.59,40001.77,69.43154944381187,30.568450556188132,1336.83
USA,2011,1777.72,18540.76,11.37,61.68,700.26
Brazil,2017,4784.83,8414.92,52.42,47.14,529.4
UK,2018,9715.83,20503.75,14.77,40.02,2229.82
Canada,2009,3786.43,27987.92,7.29,66.97,566.22
UK,2024,3778.57,1964.42,46.44812786739677,53.55187213260323,2296.35
Japan,2024,2030.8,31568.27,55.08311461067365,44.91688538932633,4320.45
Canada,2020,1231.8,20057.49,56.06,22.96,3898.54
Japan,2013,7429.02,981.43,64.6639595591282,35.3360404408718,2929.42
Russia,2002,7723.3,33857.53,11.87,45.31,4259.59
China,2017,9693.23,35763.19,13.95,40.25,546.34
USA,2023,7756.84,31627.57,73.45124461912783,26.54875538087217,3066.62
Canada,2014,2509.19,17425.55,47.78,43.06,622.42
Canada,2005,497.15,26715.44,28.21,41.26,2436.59
Russia,2009,9855.83,19664.31,67.74,24.66,2344.14
Brazil,2011,3470.46,35180.78,52.52171658239336,47.47828341760664,1362.52
India,2006,3188.52,29387.22,46.9208643705288,53.0791356294712,4157.78
Russia,2016,9068.96,4549.06,53.37319161499852,46.62680838500148,1179.73
Australia,2000,5892.49,32333.13,29.01,38.07,2781.88
India,2017,2227.22,34518.3,29.55,35.92,2437.19
USA,2014,8902.05,18849.76,56.60173160173161,43.3982683982684,2186.68
India,2018,9934.27,43851.4,52.1351179094965,47.86488209050351,216.03
Brazil,2000,958.12,42229.21,24.9,52.04,3498.83
India,2004,8636.29,9170.74,49.55,18.69,112.79
USA,2014,3966.11,45261.18,54.29747812660833,45.70252187339167,4111.71
Brazil,2002,5288.32,22323.18,23.58,73.13,1368.65
UK,2000,9156.68,36325.61,60.67,16.01,644.03
Canada,2007,9736.45,40797.8,8.58,33.74,2114.35
Canada,2011,2695.42,25503.06,30.81,45.63,2818.83
Japan,2021,2207.22,20255.55,51.774582328983456,48.225417671016544,1586.3
UK,2024,897.11,45814.84,17.69,16.27,652.83
UK,2018,5661.8,11927.25,23.89,71.1,140.72
India,2024,234.68,13220.02,79.72,12.84,3533.88
Canada,2024,4177.79,18400.21,47.08371109096403,52.91628890903596,4437.86
USA,2011,826.5,43043.56,47.41,11.94,547.58
Germany,2012,4111.74,46970.02,22.93,20.75,1191.64
Germany,2000,495.33,11393.35,34.006397441023594,65.9936025589764,150.13
Brazil,2018,8368.65,43261.57,43.39272756591147,56.60727243408852,4431.08
Canada,2005,2176.42,13281.05,18.2,78.76,2251.46
Canada,2007,3350.26,48546.74,45.95,18.1,4629.72
Germany,2003,8713.48,30071.69,39.76,46.85,2367.09
Canada,2004,7488.03,850.78,45.52,15.4,4317.81
India,2024,2268.48,2189.43,13.97,20.95,4761.19
Australia,2021,811.8,7800.48,14.05,22.21,1709.0
China,2006,7185.17,9784.87,85.75796429628168,14.242035703718315,3221.52
UK,2022,3967.96,38497.15,54.89549639213735,45.104503607862654,3348.78
Japan,2003,7684.19,11526.91,41.22,18.84,155.97
Brazil,2019,4508.42,48472.51,57.140591547062094,42.85940845293791,2219.23
Australia,2003,3525.42,31987.55,53.029509341714686,46.970490658285314,4283.87
Germany,2014,4566.93,34779.62,14.94,23.91,4734.11
UK,2020,7510.73,11281.92,27.445281990736536,72.55471800926347,4501.14
Canada,2004,9031.98,44688.96,31.66,34.32,4865.84
Japan,2023,592.7,33556.82,43.13178294573643,56.86821705426357,3282.56
Canada,2008,5288.7,43288.08,41.55188246097337,58.44811753902663,1202.36
USA,2001,425.07,47845.81,52.21034202463578,47.78965797536422,2898.14
USA,2006,4737.25,6719.23,53.503893214682975,46.49610678531702,2134.66
Japan,2016,8864.3,5281.07,73.70265151515152,26.297348484848488,1330.33
Japan,2015,3679.74,40268.69,80.75,18.45,3875.29
Germany,2016,9331.26,43373.24,59.4390243902439,40.5609756097561,3164.53
Japan,2019,6343.02,29396.19,33.29,35.2,3961.02
India,2022,9348.14,18617.03,23.28,68.17,1383.98
Canada,2001,7595.95,32805.17,46.30669546436285,53.69330453563714,4524.23
Australia,2010,1124.01,15630.37,63.61,29.35,1231.63
Russia,2001,2388.4,12300.09,37.86,11.19,3029.52
Japan,2000,4002.29,24663.19,74.34438873891246,25.65561126108754,331.63
Brazil,2001,1784.06,11199.61,63.549688302163545,36.45031169783645,2727.77
USA,2022,4999.62,24443.33,53.4,15.53,538.68
India,2008,4766.54,47852.02,43.81,56.08,1694.46
UK,2021,9566.97,42069.31,57.342709658113264,42.657290341886736,4310.41
Russia,2001,4393.91,47110.73,7.06,21.86,4472.96
Australia,2014,7877.71,40413.28,15.97,51.74,3848.13
Russia,2009,9424.91,18060.17,59.42645126381695,40.57354873618304,1870.13
Japan,2014,8782.19,40696.24,60.7336465486086,39.2663534513914,2914.68
Germany,2009,2165.81,46184.33,34.47480785653288,65.52519214346712,1158.7
USA,2024,5010.7,47378.27,80.55,17.57,3407.83
USA,2022,3542.62,34318.29,34.87,38.46,1769.64
UK,2016,4058.6,10962.65,45.05662687480869,54.9433731251913,1143.94
Germany,2008,3671.99,2466.59,58.92,37.04,2945.6
Canada,2017,8280.96,7786.41,20.67,39.72,603.42
China,2003,4576.18,48294.57,29.21,56.78,3449.16
India,2008,5284.57,23373.79,59.41914664754392,40.58085335245608,975.68
USA,2015,9826.23,42821.81,20.59,11.6,2789.6
Brazil,2003,693.79,23519.69,19.75,41.9,1992.92
USA,2015,4930.78,33210.47,45.77,33.35,2852.91
Russia,2018,7763.21,1694.97,12.84,53.94,1267.51
USA,2000,1596.5,12868.31,62.36724642142528,37.63275357857473,1586.43
USA,2022,6154.16,22095.33,13.51,55.56,744.59
China,2005,2470.7,31716.24,50.728991782274456,49.27100821772555,3895.98
China,2009,8687.3,8990.3,33.88,27.84,397.05
Australia,2015,3338.29,38345.3,72.91521717523109,27.08478282476891,1913.35
Canada,2003,3357.72,18538.03,55.13,35.92,2273.03
Brazil,2021,6022.12,40963.05,38.01,26.94,1016.27
USA,2021,1917.27,5349.47,60.5272143686403,39.47278563135969,1954.87
USA,2012,2920.4,34147.95,10.63,52.2,2119.54
India,2015,4224.66,15019.75,54.11,25.15,1160.44
China,2019,3601.01,39871.47,55.347826086956516,44.652173913043484,3214.32
Brazil,2005,5296.28,20407.44,60.133987544819774,39.86601245518023,202.73
UK,2010,6036.44,33434.81,67.88,18.89,1027.95
Australia,2023,5710.01,46748.11,7.73,24.91,3139.17
Canada,2002,6576.27,1521.02,6.82,47.79,3156.26
Germany,2019,3146.72,1050.28,8.07,33.69,1363.05
Canada,2009,1351.62,38628.82,56.20240417899176,43.79759582100824,3431.09
